#,,,,Gain,,,,Check,,,,Average,,,,Saturation,,,
#Day,Time,Address,State,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm,L1cm,L3cm,R1cm,R3cm
2018-06-21,16:59:19,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1541,2699,359,2513,0,1,0,1
2018-06-21,16:59:19,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1911,2345,1394,1284,0,0,0,0
2018-06-21,17:40:57,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1538,3574,357,4095,0,600,0,600
2018-06-21,17:40:57,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1538,2704,356,2492,0,1,0,1
2018-06-21,17:40:58,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1906,2332,1385,1276,0,0,0,0
2018-06-21,17:55:05,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1532,3574,356,4095,0,600,0,600
2018-06-21,17:55:07,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1531,2703,355,2493,0,1,0,1
2018-06-21,17:55:08,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1899,2328,1379,1274,0,0,0,0
2018-06-21,17:57:13,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1534,3574,356,4095,0,600,0,600
2018-06-21,17:57:14,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1534,2703,355,2492,0,1,0,1
2018-06-21,17:57:15,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1902,2329,1381,1274,0,0,0,0
2018-06-21,17:58:39,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1532,3575,356,4095,0,600,0,600
2018-06-21,17:58:39,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1532,2704,355,2494,0,1,0,1
2018-06-21,17:58:40,78:61:7c:34:25:97,OK,5,1,16,1,1,1,1,1,1900,2329,1379,1274,0,0,0,0
2018-06-21,18:02:20,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1385,3645,1174,3845,0,600,0,600
2018-06-21,18:02:21,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1385,2723,1174,2757,0,1,0,1
2018-06-21,18:02:22,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1717,2182,1736,1796,0,0,0,0
2018-06-21,18:05:12,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1383,3643,1171,3848,0,600,0,600
2018-06-21,18:05:14,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1383,2723,1171,2758,0,1,0,1
2018-06-21,18:05:15,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1715,2183,1731,1792,0,0,0,0
2018-06-21,18:12:25,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1390,3646,1172,3846,0,600,0,600
2018-06-21,18:12:26,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1390,2727,1172,2757,0,1,0,1
2018-06-21,18:12:27,78:61:7c:34:25:97,OK,5,1,6,1,1,1,1,1,1724,2191,1733,1793,0,0,0,0
2018-06-21,18:17:49,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1389,3643,1170,3847,0,600,0,600
2018-06-21,18:17:50,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1389,2725,1170,2756,0,1,0,1
2018-06-21,18:17:51,78:61:7c:34:25:97,OK,5,1,7,1,1,1,1,1,1722,2192,2008,1792,0,0,0,0
2018-06-21,18:25:49,78:61:7c:34:25:97,ST,4,6,4,6,1,0,1,0,1387,3643,1168,3849,0,600,0,600
2018-06-21,18:25:50,78:61:7c:34:25:97,1,4,2,4,2,1,1,1,1,1387,2725,1168,2759,0,1,0,1
2018-06-21,18:25:51,78:61:7c:34:25:97,OK,5,1,7,1,1,1,1,1,1720,2192,2005,1790,0,0,0,0
